date,UNRATE
1/1/2005,5.083333333
1/1/2006,4.608333333
1/1/2007,4.616666667
1/1/2008,5.8
1/1/2009,9.283333333
1/1/2010,9.608333333
1/1/2011,8.933333333
1/1/2012,8.075
1/1/2013,7.358333333
1/1/2014,6.158333333
1/1/2015,5.275
1/1/2016,4.875
1/1/2017,4.358333333
1/1/2018,3.891666667
1/1/2019,3.683333333
1/1/2020,8.091666667
1/1/2021,5.366666667
